id,limit,n_cc,inc0,w0,c0,safety_score,deg,female,age,deb0,del
205,36.064735,3,6,131.25,5.0583,-1.1811631,4,1,24,0,0
206,6.868145,2,10.6,54.6875,7.9376431,.35301793,3,0,24,0,0
207,16.88187,2,8,76.5625,12.354652,-1.873597,4,0,39,0,0
208,8.5525694,3,7.7227602,81.03875,10.076797,.28959504,4,1,23,3.1946158,0
209,12.428829,3,8.799427,370.8165,12.682132,-1.7194352,4,0,42,1.2521988,0
211,2.4327273,3,6,38.28125,10.528585,.033365496,3,0,44,0,0
212,2.34375,3,10.366084,38.28125,10.528857,.031711593,3,0,44,0,0
213,18.59375,3,17.589262,302.95126,15.699439,-.38535127,5,1,54,.89973468,0
214,1.875,3,11.140024,120.3125,13.094848,.24939509,4,0,43,0,0
215,15.3125,3,9.8187752,240.625,8.3979216,.77031827,3,1,21,0,0
216,35.15625,3,7.1187654,31.171875,6.9630017,.4654313,5,0,28,0,0
217,11.09375,3,13.982035,153.98274,13.982032,.57145816,3,1,43,1.8108355,0
218,5.6544809,3,53.094467,71.83976,15.914362,-.19436519,1,1,47,1.8950833,0
219,2.28125,3,10.15672,27.34375,6.1192875,-.15752676,1,0,37,0,0
220,6.09375,3,8.1682768,48.125,5.8620048,-.20020024,1,0,34,0,0
221,4.5625,3,20.560493,411.25821,8.1345778,-.98661655,3,0,33,1.1310705,0
222,7.96875,3,12.793417,60.15625,11.25797,.29757282,2,1,54,0,0
223,13.90625,3,10.658585,65.625,10.287436,.31287751,3,0,59,0,0
224,12.342409,3,9.0662689,111.63345,11.462839,.72472274,4,1,31,2.6169455,0
225,55.977871,2,4.8655219,6.1867309,7.667089,-1.6534413,5,0,38,1.1798904,0
226,25.657085,3,14.49,82.03125,28.342888,.22939962,3,1,34,0,0
227,56.25,2,12.446077,19.776985,12.51399,.73386335,1,1,41,2.0404422,0
228,.9375,3,14.772599,139.09752,13.595222,.66482973,1,1,48,6.1002445,0
230,3.75,3,11.80211,65.625,17.586048,-.14983794,4,0,49,0,0
231,1.8125,3,11.820859,109.375,4.6271772,.18509477,2,1,31,0,0
232,2.8125,2,12.867123,7.983489,11.404806,.93639612,2,1,41,3.3184423,0
233,.9375,3,4.653471,32.8125,13.862562,.1110477,3,0,21,0,0
234,1.875,3,16.36554,153.125,11.153625,.76499557,4,0,32,0,0
235,3.125,3,12.626354,109.375,10.92349,1.0645901,4,1,37,0,0
236,.9375,3,11.313825,87.5,8.53685,.96579933,3,1,36,0,0
237,34.708267,3,36.75,926.93677,31.155828,-.82045513,4,0,43,0,0
238,7.03125,3,13.697446,164.0625,10.3382,.86574239,5,0,53,0,0
239,9.6875,2,7.4318795,72.301521,7.2885003,.73956454,1,0,28,2.8290012,0
240,2.34375,3,7.2079759,114.29688,7.3667612,.35766879,2,1,22,0,0
241,4.8470693,3,5,42.65625,8.0219221,-.036592353,2,0,23,0,0
243,3.59375,2,7.8828793,27.34375,5.588367,.60176134,1,1,28,0,0
244,4.6875,2,12.394235,9.4939613,12.149969,.80120295,3,1,54,2.1733625,0
245,9.8783464,3,7.3499999,52.5,15.673932,.60081011,2,1,51,0,0
246,14.0625,3,10.304066,55.889328,23.474636,.53224522,4,0,56,2.0891483,0
247,3.59375,3,4.8431215,98.4375,8.811388,.62039769,4,0,27,0,0
248,2.8507433,3,22.785,21.875,19.165684,1.1537739,5,0,43,0,1
249,10.78125,3,5.7592793,83.125,8.3299303,1.4454093,2,0,27,0,0
250,1.875,2,4.674161,83.125,7.9312077,-.16042063,4,0,24,0,0
251,14.0625,3,5.5561705,31.171875,11.025386,1.0514189,2,1,21,0,0
252,1.9287302,3,3.8103869,28.666943,8.331131,.74617279,4,1,46,5.5402718,0
253,2.6875,3,8.0007572,65.625,8.7706566,-.31790021,4,0,36,0,0
254,4.6875,3,16.055752,202.61719,12.335629,1.281875,2,0,51,0,0
255,7.440619,3,2.8836274,45.975029,16.667835,-.49883127,4,0,34,1.8569765,0
256,4.21875,3,11.538752,39.375,8.6253986,.1767803,4,1,53,0,0
258,1.875,3,12.270709,60.15625,10.559239,-.39911115,2,0,39,0,0
259,5,3,13.555817,153.73831,12.029344,.44699639,5,1,44,1.2751985,0
260,1.875,3,13.998364,65.488205,11.787357,-.031436905,3,0,42,1.363832,0
262,3.125,3,15.416108,54.6875,9.7158041,.16463093,5,1,33,0,0
263,14.0625,3,13.615923,109.10156,14.572511,.3636418,2,0,47,0,0
264,7.03125,3,3.2661629,37.40625,6.8943062,.98680693,4,0,22,0,0
266,24.8125,3,12.268857,98.916801,12.253203,-.60204071,4,0,41,1.4159126,0
267,9.375,3,2.8841093,34.162109,8.6342192,-.047600359,4,0,23,1.301296,0
268,1.40625,3,22.04517,470.3125,16.539366,.32787806,5,1,41,0,0
269,27.147326,3,12.6,87.5,12.041723,.11295627,3,0,38,0,0
270,9.375,3,11.67268,65.625,9.4867764,.27607271,2,0,53,0,0
271,3.75,2,10.120628,49.875,6.7542086,.83031327,1,1,31,0,0
272,4.21875,2,4.4787707,18.9034,8.8720236,-.13588922,1,0,26,5.6285877,0
273,21.09375,3,12.746882,130.94218,15.024921,-.74045408,4,0,47,.90148115,0
275,18.75,3,16.454079,231.14453,13.83563,.73505688,5,0,51,.59674793,0
276,15.809265,3,37.59,339.0625,17.543756,.16664253,4,1,39,0,0
277,7.03125,3,16.461823,145.46875,11.211486,.54765737,2,1,42,0,0
278,23.45557,3,62.400002,519.53125,21.990639,.65981776,3,1,39,0,0
279,3.125,2,6.6633525,32.8125,4.6271772,.58219635,1,0,28,0,0
280,1.6809239,3,4.8439617,100.39629,13.125846,-.58256155,3,1,44,3.9465766,0
281,7.1481624,3,10.297415,77.684265,15.034811,.83320415,5,0,49,.91789889,0
282,2.1322978,3,3.8,273.4375,9.5268936,.026695028,1,1,27,0,0
283,6.5625,3,11.724089,74.080032,9.9104052,-.92390257,4,1,38,1.3519638,0
284,29.771311,3,5.4955678,350.94006,10.768817,-.59446537,5,1,48,.78633422,0
285,7.5,2,4.4519234,9.5667229,8.4922056,-.84897894,3,0,24,2.190042,0
286,1.171875,3,6.6019487,100.74625,8.6924353,.37316701,4,1,27,3.8647141,0
287,2.875,2,4.7553906,76.5625,7.7637129,-.64667916,4,0,27,0,0
289,1.84375,3,10.662013,38.28125,16.209642,.1741405,3,0,43,0,0
290,2.34375,2,11.225997,64.281761,11.090358,-2.8623326,4,0,57,2.3646469,0
292,25.28125,3,7.9840465,76.5625,7.9971728,-1.5696441,2,0,28,0,0
293,1.875,3,6.431859,119.49219,8.7926655,1.076082,2,0,27,0,0
295,30,3,21.864857,426.5625,15.764749,-.29343623,5,1,42,0,0
296,2.578125,3,13.502198,98.4375,11.272602,.1170847,4,0,33,0,0
297,8.75,3,15.99533,98.4375,7.6524711,.077155396,5,1,33,0,0
298,3.75,3,9.3569641,43.75,8.6880646,.680134,3,0,31,0,0
